#clustering band1 band2 band3 band4 b_width eps min_samp damp pref km_in score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40 c_41 c_42 c_43 c_44 c_45 c_46 c_47 c_48 c_49 c_50 c_51 c_52 c_53 c_54 c_55 c_56 c_57 c_58 c_59 c_60
kmeans mag05_555 mag05_814 mag05_225 mag05_657 N/A N/A N/A N/A N/A meanshift 0.4167 3 2932 1290 1231  411    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_657 N/A N/A N/A N/A N/A meanshift 0.4163 4 2932 1268 1107  343  214    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_657 N/A N/A N/A N/A N/A meanshift 0.3756 5 2932 1031  874  674  198  155    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_657 N/A N/A N/A N/A N/A meanshift 0.3918 6 2932 967 863 539 304 161  98   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
meanshift mag05_555 mag05_814 mag05_225 mag05_673 0.8031 N/A N/A N/A N/A N/A 0.3265 3 1784 1601  121   62    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_673 N/A N/A N/A N/A N/A meanshift 0.4672 2 1784 1120  664    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_673 N/A N/A N/A N/A N/A meanshift 0.4288 3 1784 776 767 241   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_673 N/A N/A N/A N/A N/A meanshift 0.4232 4 1784 717 709 195 163   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_673 N/A N/A N/A N/A N/A meanshift 0.3942 5 1784 605 558 365 182  74   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_673 N/A N/A N/A N/A N/A meanshift 0.4103 6 1784 563 531 307 237  84  62   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
