#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1935718,2,13,37,00.909,-29,52,02.66,,,,,,
1920068,5,13,37,00.564,-29,51,50.37,23.817,0.000,23.051,0.000,22.106,0.000
1938391,3,13,37,01.006,-29,52,02.67,19.062,0.000,,,,
1930361,2,13,37,01.271,-29,51,49.65,24.007,0.000,,,,
1927032,2,13,37,00.408,-29,51,57.07,,,,,,
1926859,4,13,37,00.414,-29,51,57.41,18.692,0.000,18.500,0.000,,
1928389,2,13,37,01.294,-29,52,01.19,24.509,0.000,,,,
1934560,3,13,37,00.675,-29,52,01.81,21.300,0.000,,,,
1937523,2,13,37,01.486,-29,51,57.45,23.253,0.000,,,,
1933669,3,13,37,01.143,-29,52,02.33,21.511,0.000,,,,
1938612,3,13,37,00.934,-29,52,02.78,19.865,0.000,,,,
1930555,2,13,37,00.467,-29,51,59.17,,,,,,
1926391,3,13,37,00.738,-29,52,02.24,19.556,0.000,,,,
1934169,3,13,37,00.692,-29,52,01.97,20.445,0.000,,,,
1921239,4,13,37,00.514,-29,51,50.93,,,23.643,0.000,22.228,0.000
1923183,5,13,37,00.888,-29,51,48.26,24.147,0.000,21.587,2.168,22.333,0.000
1921794,3,13,37,00.398,-29,51,56.82,20.875,0.000,,,,
1929320,3,13,37,00.486,-29,51,59.63,21.526,0.000,,,,
1930168,2,13,37,00.433,-29,51,58.39,,,,,,
1936278,6,13,37,01.492,-29,51,57.54,,,22.262,0.098,21.476,0.000
1936036,4,13,37,01.495,-29,51,53.63,22.757,0.000,22.424,0.000,,
1937859,3,13,37,00.702,-29,52,02.11,20.684,0.000,,,,
1929987,2,13,37,00.424,-29,51,58.18,,,,,,
1936222,2,13,37,01.481,-29,51,58.01,24.599,0.000,,,,
1921825,3,13,37,00.389,-29,51,56.46,21.155,0.000,,,,
2170096,3,13,37,01.389,-29,51,50.85,25.226,0.000,23.993,0.000,22.751,0.000
1922718,4,13,37,00.445,-29,51,52.14,24.269,0.000,24.106,0.000,22.654,0.000
1935563,2,13,37,01.496,-29,51,53.37,23.629,0.000,,,,
2184250,2,13,37,01.188,-29,52,02.25,24.138,0.000,,,,
1937821,10,13,37,00.781,-29,52,02.60,20.426,0.000,20.366,0.029,20.428,0.000
1929525,4,13,37,01.279,-29,51,49.44,,,23.026,0.000,22.518,0.000
1924742,3,13,37,00.393,-29,51,53.88,22.428,0.000,,,,
1920600,2,13,37,00.632,-29,51,49.32,23.524,0.000,,,,
1935368,13,13,37,01.013,-29,52,02.92,18.792,0.024,18.928,0.009,18.976,0.000
1925077,3,13,37,00.392,-29,51,57.24,19.661,0.000,,,,
1938140,2,13,37,00.938,-29,52,02.97,,,,,,
1938250,2,13,37,01.514,-29,51,54.10,24.206,0.000,,,,
1923574,5,13,37,00.475,-29,51,51.30,,,23.223,0.000,22.855,0.000
1935212,2,13,37,00.848,-29,52,02.87,18.517,0.000,,,,
1933581,2,13,37,01.442,-29,51,51.63,,,24.265,0.000,23.493,0.000
1932145,3,13,37,01.417,-29,51,51.12,,,24.211,0.000,22.599,0.000
2173801,2,13,37,01.511,-29,51,53.81,23.802,0.000,,,,
1925046,3,13,37,00.380,-29,51,56.62,20.570,0.000,,,,
1926746,2,13,37,00.402,-29,51,57.86,,,,,,
1931520,3,13,37,00.477,-29,51,59.82,20.096,0.000,,,,
1933245,3,13,37,00.634,-29,52,01.83,20.212,0.000,,,,
1934155,3,13,37,00.663,-29,52,02.07,20.959,0.000,,,,
1933845,3,13,37,00.680,-29,52,02.20,20.537,0.000,,,,
1925252,3,13,37,00.369,-29,51,55.46,20.958,0.000,,,,
1932050,5,13,37,00.457,-29,51,59.52,19.314,0.000,,,,
1936308,3,13,37,01.109,-29,52,02.78,20.888,0.000,,,,
1938567,4,13,37,00.922,-29,52,03.08,21.853,0.000,,,,
1922197,3,13,37,00.429,-29,51,58.92,19.457,0.000,,,,
