# id_ ra dec Name RA Dec Type Source
62656.0 204.272366 -29.8520071 [SL2011]1_622 204.27238 -29.85195 Cl* NS
62771.0 204.2811659 -29.8519608 [WCK2011]29 204.2811658 -29.8519608 Cl* S
62944.0 204.2635148 -29.8518897 [SL2011]1_163 204.26354 -29.8519 Cl* NS
63140.0 204.2449458 -29.8518059 [L99]n5236-1105 204.24492 -29.85181 Cl* S
63486.0 204.260391 -29.8516437 [SL2011]1_160 204.26042 -29.85164 Cl* NS
63532.0 204.2697046 -29.8516295 [SL2011]1_617 204.26975 -29.85163 Cl* NS
63611.0 204.2426354 -29.8515924 [WCK2011]2 204.2426354 -29.8515925 Cl* S
63885.0 204.2630693 -29.8514691 [SL2011]1_612 204.26308 -29.85146 Cl* NS
64292.0 204.2623725 -29.8512947 [SL2011]1_610 204.26242 -29.85129 Cl* NS
64462.0 204.2811447 -29.8512236 [WCK2011]26 204.2811446 -29.8512236 Cl* S
64646.0 204.2414495 -29.8511557 [SL2011]1_288 204.2415 -29.85115 Cl* NS
64786.0 204.2483471 -29.8510986 [SL2011]1_452 204.24842 -29.8511 Cl* NS
65074.0 204.2859227 -29.850992 [L99]n5236-1109 204.28588 -29.85097 Cl* S
65304.0 204.2849235 -29.8508999 [WCK2011]66 204.2849233 -29.8509 Cl* S
65479.0 204.2862739 -29.8508316 [WCK2011]65 204.2862737 -29.8508317 Cl* S
65518.0 204.2648245 -29.8508145 [SL2011]1_169 204.26487 -29.85082 Cl* NS
65733.0 204.2851579 -29.8507302 [WCK2011]64 204.2851579 -29.8507303 Cl* S
65815.0 204.244637 -29.8507043 [WCK2011]1 204.244638 -29.850706 Cl* S
66002.0 204.2652311 -29.8506206 [SL2011]1_171 204.26529 -29.85062 Cl* NS
66069.0 204.2844254 -29.8505955 [WCK2011]52 204.2844254 -29.8505956 Cl* S
66123.0 204.2903301 -29.8505755 [WCK2011]51 204.29033 -29.8505756 Cl* S
66216.0 204.2897363 -29.8505371 [L99]n5236-1115 204.2897362 -29.8505372 Cl* S
66334.0 204.2634624 -29.8504901 [SL2011]1_168 204.26346 -29.85048 Cl* NS
66640.0 204.2695553 -29.8503735 [SL2011]1_625 204.26958 -29.85036 Cl* NS
66643.0 204.2641951 -29.8503721 [SL2011]1_614 204.26425 -29.85037 Cl* NS
66671.0 204.2523461 -29.8503575 [SL2011]16 204.252375 -29.850364 Cl* S
66671.0 204.2523461 -29.8503575 [SL2011]1_006 204.25238 -29.85036 Cl* N
66777.0 204.26797 -29.8503199 [SL2011]1_177 204.268 -29.85033 Cl* NS
66897.0 204.2654298 -29.8502774 [WCK2011]19 204.26543 -29.8502775 Cl* S
67067.0 204.2932852 -29.8502098 [L99]n5236-1119 204.29329 -29.85019 Cl* S
67140.0 204.2481461 -29.8501846 [SL2011]1_453 204.24817 -29.85019 Cl* NS
67958.0 204.2887307 -29.8499286 [WCK2011]32 204.2887308 -29.8499286 Cl* S
68035.0 204.2502125 -29.8499049 [SL2011]1_455 204.25021 -29.84989 Cl* NS
68056.0 204.2642683 -29.8498983 [SL2011]1172 204.264292 -29.849911 Cl* S
68056.0 204.2642683 -29.8498983 [SL2011]1_172 204.26429 -29.84991 Cl* N
68789.0 204.2687205 -29.8496594 [SL2011]1_627 204.26871 -29.84967 Cl* NS
68899.0 204.2721525 -29.8496193 [SL2011]1_635 204.27217 -29.84965 Cl* NS
69051.0 204.2487598 -29.8495712 [SL2011]1_454 204.24879 -29.84958 Cl* NS
69122.0 204.2483578 -29.8495507 [SL2011]14 204.248417 -29.849544 Cl* S
69122.0 204.2483578 -29.8495507 [SL2011]1_004 204.24842 -29.84954 Cl* N
69453.0 204.2641297 -29.8494359 [SL2011]1_174 204.26408 -29.84943 Cl* NS
69793.0 204.2694643 -29.8493238 [WCK2011]34 204.2694642 -29.8493239 Cl* S
70075.0 204.2644773 -29.8492137 [SL2011]1_621 204.2645 -29.84923 Cl* NS
70172.0 204.2468504 -29.8491841 [SL2011]1_291 204.24692 -29.84919 Cl* NS
70760.0 204.2650875 -29.8489778 [SL2011]1_623 204.26513 -29.84897 Cl* NS
70777.0 204.2607456 -29.8489709 [WCK2011]43 204.2607454 -29.8489708 Cl* S
70823.0 204.2505 -29.8489566 [SL2011]18 204.250542 -29.84895 Cl* S
70823.0 204.2505 -29.8489566 [SL2011]1_008 204.25054 -29.84895 Cl* N
71456.0 204.2615937 -29.8487414 [SL2011]1_173 204.26163 -29.84875 Cl* NS
71679.0 204.2687332 -29.8486658 [SL2011]1_631 204.26875 -29.84867 Cl* NS
71694.0 204.2714472 -29.8486604 [SL2011]1_641 204.27146 -29.84865 Cl* NS
71763.0 204.251595 -29.8486305 [SL2011]19 204.251458 -29.848667 Cl* S
72122.0 204.2617859 -29.8485072 [SL2011]1_620 204.26175 -29.8485 Cl* NS
72353.0 204.2517831 -29.8484227 CXOUJ133700.4-295054 204.25175 -29.84842 Cl* NS
72451.0 204.2705076 -29.84839 [SL2011]1_639 204.2705 -29.84841 Cl* NS
73788.0 204.2745845 -29.8478585 [SL2011]1_651 204.27462 -29.84788 Cl* NS
73801.0 204.2732323 -29.847853 [SL2011]1_647 204.27325 -29.84786 Cl* NS
73932.0 204.2540596 -29.8477996 [SL2011]1_458 204.25408 -29.84779 Cl* NS
74045.0 204.27197 -29.8477545 [SL2011]1_644 204.272 -29.84775 Cl* NS
74068.0 204.2659594 -29.8477451 [SL2011]1_178 204.266 -29.84775 Cl* NS
74204.0 204.2749528 -29.8476994 [SL2011]1_654 204.275 -29.84769 Cl* NS
74293.0 204.2425811 -29.8476678 [SL2011]13 204.242625 -29.847672 Cl* S
74293.0 204.2425811 -29.8476678 [SL2011]1_003 204.24263 -29.84767 Cl* N
74533.0 204.2620774 -29.8475775 [SL2011]1_301 204.26212 -29.84758 Cl* NS
74692.0 204.2760088 -29.8475135 [WCK2011]61 204.2760087 -29.8475136 Cl* S
74898.0 204.2630302 -29.8474363 [SL2011]1_628 204.26308 -29.84743 Cl* NS
75024.0 204.2444142 -29.8473915 [SL2011]17 204.244458 -29.847406 Cl* S
75024.0 204.2444142 -29.8473915 [SL2011]1_007 204.24446 -29.84741 Cl* N
75025.0 204.2550092 -29.8473913 [SL2011]1_460 204.25504 -29.84738 Cl* NS
75041.0 204.2775285 -29.847385 [WCK2011]25 204.277529 -29.847386 Cl* S
75120.0 204.2629233 -29.847356 [SL2011]1_466 204.26296 -29.84736 Cl* NS
75160.0 204.2689576 -29.8473429 [SL2011]1_642 204.269 -29.84733 Cl* NS
75594.0 204.2553394 -29.8471967 [L99]n5236-1182 204.25533 -29.84717 Cl* S
76156.0 204.2556622 -29.8469956 [WCK2011]50 204.2556621 -29.8469956 Cl* S
76175.0 204.2557118 -29.8469877 [SL2011]1_014 204.25571 -29.84699 Cl* N
76456.0 204.2681933 -29.8468838 [SL2011]1_181 204.26821 -29.84689 Cl* NS
76466.0 204.2701833 -29.8468812 [SL2011]1_646 204.27025 -29.84689 Cl* NS
76476.0 204.2603461 -29.8468774 [SL2011]1_464 204.26038 -29.84687 Cl* NS
76664.0 204.2706944 -29.8468058 [SL2011]1_649 204.27075 -29.8468 Cl* NS
77047.0 204.2609032 -29.8466616 [SL2011]1_465 204.26092 -29.84666 Cl* NS
77129.0 204.2618527 -29.8466352 [SL2011]1_467 204.26192 -29.84663 Cl* NS
77223.0 204.273574 -29.8466014 [SL2011]1_658 204.27358 -29.8466 Cl* NS
77914.0 204.2518679 -29.8463458 [SL2011]1_459 204.25192 -29.84635 Cl* NS
78043.0 204.2694059 -29.8462884 [SL2011]1_650 204.26946 -29.84631 Cl* NS
78154.0 204.257905 -29.8462475 [SL2011]1_017 204.25796 -29.84625 Cl* N
78154.0 204.257905 -29.8462475 [WCK2011]48 204.257904 -29.846247 Cl* S
78361.0 204.2704394 -29.8461604 [SL2011]1_653 204.27046 -29.84616 Cl* NS
78398.0 204.2625006 -29.8461481 [SL2011]1_632 204.26254 -29.84615 Cl* NS
78491.0 204.2625282 -29.8461101 [SL2011]1_634 204.26258 -29.84611 Cl* NS
78807.0 204.2629122 -29.8459862 [WCK2011]41 204.2629121 -29.8459861 Cl* S
78967.0 204.2759924 -29.8459169 [SL2011]1_659 204.27604 -29.84591 Cl* NS
79439.0 204.2429064 -29.8457299 [SL2011]1_293 204.24296 -29.84574 Cl* NS
79551.0 204.2630259 -29.845696 [SL2011]1_638 204.26304 -29.8457 Cl* NS
79777.0 204.270315 -29.8456136 [SL2011]1_194 204.27038 -29.84561 Cl* NS
79904.0 204.2543178 -29.8455656 [SL2011]115 204.254333 -29.845553 Cl* S
79904.0 204.2543178 -29.8455656 [SL2011]1_015 204.25433 -29.84555 Cl* N
79905.0 204.276143 -29.8455655 [SL2011]1_663 204.27617 -29.84556 Cl* NS
79958.0 204.2748018 -29.8455404 [SL2011]1_197 204.27479 -29.84556 Cl* NS
80151.0 204.2515905 -29.8454693 [SL2011]113 204.251625 -29.845472 Cl* S
