# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
kmeans 7 4 756 0.355864900784 0.476960865289 0.5315 0.4115  1.5206 0.0010 0.3493 0.147910171731 0.652638044914  0.1480 0.6532
kmeans 7 5 3515 0.355864900784 0.337308992333 0.8456 0.2163  1.3582 0.0000 0.6427 0.0804128205128 -1.18052706553  0.0812 -1.1803
kmeans 7 6 2057 0.355864900784 0.337791612838 0.5477 0.2802  1.4147 0.0010 0.4321 0.0653216715258 -0.739549562682  0.0652 -0.7382
kmeans 7 7 1207 0.355864900784 0.403608829803 0.2260 0.3207  1.4412 0.0010 0.2251 0.114737407102 -0.155546655656  0.1143 -0.1540
kmeans 8 1 1833 0.33905340514 0.247651528705 0.9343 0.2478  1.0836 0.0000 0.5336 -0.251155844156 -1.27930140693  -0.2533 -1.2805
kmeans 8 2 3089 0.33905340514 0.374079647915 1.1086 0.1937  1.0924 0.0000 0.7635 -0.0495408825438 -1.55942991564  -0.0485 -1.5591
kmeans 8 3 84 0.33905340514 0.340716436013 1.3412 0.7072  2.5714 0.0072 0.4476 -1.36682142857 -1.16170238095  -1.3668 -1.1617
kmeans 8 4 3293 0.33905340514 0.335347533311 0.9317 0.1930  1.1502 0.0000 0.7148 0.109360815333 -1.30462123517  0.1084 -1.3037
kmeans 8 5 544 0.33905340514 0.46851027577 0.6005 0.3705  1.5069 0.0010 0.3826 0.148961397059 0.776613970588  0.1490 0.7766
kmeans 8 6 1389 0.33905340514 0.340965793612 0.3841 0.2821  1.4147 0.0010 0.3310 0.0943811239193 -0.483878962536  0.0945 -0.4840
kmeans 8 7 2299 0.33905340514 0.3232480305 0.6745 0.2360  1.1306 0.0000 0.5117 0.0547850304613 -0.933134899913  0.0546 -0.9334
kmeans 8 8 859 0.33905340514 0.379406173471 0.2052 0.3113  1.3110 0.0010 0.1763 0.128044237485 0.0820139697322  0.1280 0.0820
kmeans 9 1 2365 0.3241276537 0.327916381553 0.7917 0.1967  0.8208 0.0010 0.6142 0.105016129032 -1.10337266553  0.1044 -1.1035
kmeans 9 2 1605 0.3241276537 0.324350346659 0.5357 0.2470  1.4147 0.0010 0.4203 0.0629189526185 -0.728257481297  0.0637 -0.7279
kmeans 9 3 2291 0.3241276537 0.319914267926 1.1168 0.1976  0.9872 0.0000 0.7220 -0.139683107813 -1.56465342645  -0.1392 -1.5648
kmeans 9 4 1671 0.3241276537 0.246558909054 0.8826 0.2412  0.8658 0.0000 0.5086 -0.231594272076 -1.20943377088  -0.2326 -1.2099
kmeans 9 5 84 0.3241276537 0.34773931677 1.3412 0.7072  2.5714 0.0072 0.4476 -1.36682142857 -1.16170238095  -1.3668 -1.1617
kmeans 9 6 424 0.3241276537 0.43303014415 0.6500 0.3507  1.3135 0.0010 0.4046 0.161622641509 0.855761792453  0.1616 0.8558
kmeans 9 7 3257 0.3241276537 0.330609878558 1.0126 0.1799  1.1326 0.0000 0.7613 0.0864441717791 -1.42191411043  0.0864 -1.4219
kmeans 9 8 1032 0.3241276537 0.349791649189 0.2684 0.2750  1.4412 0.0010 0.2548 0.117453578337 -0.285879110251  0.1166 -0.2853
kmeans 9 9 661 0.3241276537 0.375862283327 0.2556 0.2927  1.0402 0.0010 0.1764 0.118930408472 0.250918305598  0.1189 0.2509
kmeans 10 1 1532 0.324165575299 0.303252133431 0.5684 0.2326  1.1572 0.0010 0.4224 0.0191779661017 -0.783078226858  0.0206 -0.7813
kmeans 10 2 2368 0.324165575299 0.326618931369 1.1118 0.1857  0.8519 0.0000 0.7264 -0.122940853401 -1.56026996198  -0.1231 -1.5603
kmeans 10 3 1567 0.324165575299 0.294759953566 0.7854 0.1942  0.8540 0.0010 0.6404 0.176587820513 -1.08501346154  0.1758 -1.0852
kmeans 10 4 746 0.324165575299 0.369601214557 0.2165 0.2989  1.1951 0.0010 0.1679 0.123202956989 0.14989516129  0.1226 0.1508
kmeans 10 5 52 0.324165575299 0.390946131678 1.4737 0.7038  2.3387 0.0072 0.4992 -1.64569230769 -1.12738461538  -1.6457 -1.1274
kmeans 10 6 505 0.324165575299 0.447626993815 0.6156 0.3625  1.5069 0.0010 0.3890 0.151615384615 0.800268244576  0.1526 0.8015
kmeans 10 7 2335 0.324165575299 0.335094589812 0.8726 0.1641  0.4929 0.0000 0.5848 -0.0695361884368 -1.22561456103  -0.0701 -1.2251
kmeans 10 8 2547 0.324165575299 0.327932441407 1.0274 0.1697  1.0697 0.0000 0.7838 0.113589390963 -1.44190137525  0.1135 -1.4418
kmeans 10 9 634 0.324165575299 0.218239334377 0.9584 0.2956  1.1827 0.0010 0.4422 -0.442630503145 -1.25819339623  -0.4430 -1.2576
kmeans 10 10 1104 0.324165575299 0.32836543285 0.3197 0.2726  1.4412 0.0010 0.2929 0.120451351351 -0.377636936937  0.1200 -0.3763
