# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
433.447 1091.03 204.2956504 -29.8761376 18044.0 3.214 24.182 20.968 9.269 1.198 0.0 25.794 0.1639 22.675 0.039 24.914 0.0671 21.815 0.0161 24.907 0.135933333333 21.741 0.0316666666667 24.82 0.0319 21.623 0.0073 24.517 0.0719333333333 21.433 0.0174 24.304 0.0552666666667 21.239 0.0134666666667 24.565 0.0194 21.329 0.0044 24.082 0.0515333333333 20.811 0.0114 24.142 0.0525333333333 20.916 0.0118666666667 24.021 0.0255 20.691 0.0055
3783.85 1094.88 204.2527086 -29.8760965 18134.0 2.176 25.617 23.441 2.472 1.325 0.0 26.127 0.1912 23.893 0.0685 25.424 0.0849 23.049 0.0285 25.483 0.177333333333 23.193 0.062 26.394 0.066 24.045 0.0225 25.749 0.127133333333 23.359 0.0424 26.24 0.135066666667 23.9 0.0462 26.094 0.0396 23.887 0.0149 24.625 0.0662 21.178 0.0135333333333 25.902 0.118466666667 23.43 0.0382666666667 26.102 0.0701 23.771 0.027
3795.18 1143.73 204.2525635 -29.8755537 19354.0 2.678 25.033 22.355 4.233 1.257 0.0 24.332 0.0836 21.925 0.0276 24.436 0.0538 21.905 0.0168 24.8 0.1294 22.017 0.0359333333333 25.95 0.0537 23.222 0.0153 25.123 0.0951333333333 22.3 0.0259333333333 25.826 0.111533333333 23.158 0.0326666666667 25.851 0.0351 23.024 0.0096 23.932 0.0480666666667 20.405 0.00946666666667 25.517 0.0991333333333 22.546 0.0252666666667 25.813 0.0589 22.672 0.014
421.74 1179.84 204.2958002 -29.8751508 20196.0 2.097 27.61 25.513 0.394 0.60543 0.0 27.998 0.4537 25.753 0.1631 27.723 0.2453 25.337 0.0823 30.301 1.76253333333 25.783 0.211933333333 28.455 0.1707 26.192 0.0607 28.024 0.3636 26.68 0.202333333333 27.811 0.278866666667 26.966 0.197933333333 28.193 0.1041 26.149 0.0423 26.447 0.153133333333 23.091 0.0326666666667 28.336 0.365866666667 -99.0 -99.0 27.444 0.1252 25.322 0.0496
3738.89 1197.57 204.253285 -29.8749555 20589.0 2.214 27.035 24.821 0.67 1.2301 0.0 27.129 0.3035 24.989 0.1139 26.795 0.1596 24.744 0.0623 27.744 0.5058 24.696 0.125266666667 27.681 0.1193 25.586 0.0457 27.503 0.285733333333 25.409 0.110466666667 27.553 0.2474 26.181 0.134266666667 27.645 0.0806 25.704 0.0341 25.54 0.100866666667 22.159 0.0212666666667 27.489 0.247466666667 25.021 0.0811333333333 27.94 0.1704 25.723 0.077
2612.69 1263.99 204.2677193 -29.8742185 22141.0 2.501 27.809 25.308 0.328 0.87408 0.0 28.221 0.5028 26.022 0.1849 28.144 0.2982 25.794 0.1022 28.879 0.862533333333 25.034 0.146533333333 28.667 0.1885 26.253 0.0627 28.517 0.458333333333 25.655 0.1238 29.305 0.562466666667 26.689 0.172933333333 28.266 0.108 25.849 0.0367 26.128 0.1322 22.635 0.0264666666667 27.426 0.239666666667 24.922 0.0766 27.652 0.1418 24.929 0.0431
1737.08 1280.54 204.2789417 -29.8740342 22526.0 2.748 27.566 24.818 0.411 0.88221 0.0 27.833 0.4206 25.028 0.1162 27.829 0.2577 25.262 0.0796 27.66 0.486333333333 25.72 0.205333333333 28.496 0.1748 25.984 0.056 28.588 0.473933333333 26.801 0.218733333333 28.403 0.367466666667 25.539 0.0990666666667 28.663 0.1318 26.255 0.0469 26.171 0.1348 22.768 0.0281333333333 30.255 0.960266666667 -99.0 -99.0 27.363 0.1231 24.895 0.0428
3192.19 1307.39 204.2602921 -29.873736 23160.0 2.276 26.577 24.301 1.021 1.131 0.0 -99.0 -99.0 27.898 0.468 28.962 0.436 27.194 0.2005 27.774 0.5126 -99.0 -99.0 28.017 0.1396 25.818 0.0514 26.937 0.219733333333 25.304 0.104933333333 27.179 0.208066666667 25.54 0.099 27.121 0.0633 24.783 0.022 25.264 0.0888 22.184 0.0214666666667 26.232 0.1378 23.987 0.0493333333333 25.555 0.0523 23.365 0.0198
3763.89 1315.94 204.2529648 -29.8736403 23366.0 2.382 21.187 18.805 146.32 2.6929 0.0 20.895 0.0172 18.412 0.0055 20.762 0.0099 18.357 0.0033 21.04 0.0228666666667 18.706 0.0078 22.013 0.0088 19.576 0.0029 21.71 0.0197333333333 19.298 0.00653333333333 22.02 0.0193333333333 19.533 0.00613333333333 21.94 0.0058 19.514 0.0019 21.784 0.0178666666667 19.24 0.00553333333333 21.724 0.0172666666667 19.473 0.00613333333333 21.931 0.0097 19.5 0.0032
1813.68 1396.9 204.2779598 -29.8727414 25271.0 2.768 27.406 24.638 0.476 0.92327 0.0 26.515 0.2286 24.078 0.0746 26.975 0.1735 24.504 0.0558 27.338 0.418533333333 24.229 0.100466666667 28.191 0.1513 25.379 0.0417 28.116 0.3794 25.502 0.114666666667 28.629 0.409466666667 25.595 0.102 28.182 0.1049 25.206 0.0273 26.171 0.134866666667 22.726 0.0276 27.221 0.218 24.893 0.0757333333333 27.586 0.1393 24.441 0.0339
