# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
meanshift 13 4 6 0.491611511306 0.313235582405 2.8729 0.5856  1.2336 0.2121 2.6159 2.55 -3.28725 -2.80925 2.4893 -3.2162 -2.8358
meanshift 13 5 70 0.491611511306 0.45657265128 0.9094 0.6782  2.1169 0.0303 0.5668 0.38975 0.871 2.3085 0.4630 0.2946 1.3759
meanshift 13 6 424 0.491611511306 0.28338955764 0.5569 0.6862  2.1370 0.0065 0.5154 1.715 -0.829 0.2865 0.7233 -0.2832 0.1931
meanshift 13 7 2 0.491611511306 0.487860688391 4.0062 0.3157  0.3157 0.3157 3.5459 3.1485 -4.3555 -4.3865 3.1485 -4.3555 -4.3865
meanshift 13 8 1 0.491611511306 0.0 N/A N/A N/A N/A 3.8776 3.682 -4.606 -4.48 3.6820 -4.6060 -4.4800
meanshift 13 9 19 0.491611511306 0.441236945584 1.3808 0.4846  1.0800 0.0832 1.2471 1.648 -2.119 -0.748 1.1092 -1.7464 -1.1413
meanshift 13 10 12 0.491611511306 0.211208984378 1.1367 0.6662  1.2985 0.1185 1.1097 2.033 -1.279 -0.719 1.2647 -1.1057 -0.8979
meanshift 13 11 40 0.491611511306 0.496572569867 0.4029 0.5699  2.0266 0.0223 0.4029 -1.659 0.28 0.216 -0.2888 -0.1018 0.3902
meanshift 13 12 1 0.491611511306 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
meanshift 13 13 2 0.491611511306 0.0928344352864 3.5014 0.6545  0.6545 0.6545 3.0905 2.907 -3.99 -4.04 2.7165 -3.8090 -3.8450
kmeans 4 1 242 0.342989829036 0.448873208488 2.1551 1.1559  5.8991 0.0215 1.8114 1.25623553719 -2.42046694215 -2.33880165289 1.2562 -2.4205 -2.3388
kmeans 4 2 3649 0.342989829036 0.375153129358 1.0304 0.4239  2.2606 0.0024 0.5184 -0.216659906824 -1.20628473554 -1.2485028775 -0.2167 -1.2063 -1.2485
kmeans 4 3 3720 0.342989829036 0.31478208542 0.7326 0.4546  2.8020 0.0014 0.3136 -0.334674462366 -0.860613978495 -0.791075 -0.3347 -0.8606 -0.7911
kmeans 4 4 1046 0.342989829036 0.306608515028 0.5238 0.8845  4.4148 0.0065 0.5218 0.410684512428 -0.36211376673 0.0868355640535 0.4107 -0.3621 0.0868
meanshift 10 1 8020 0.464696416592 0.47480345311 0.8546 0.6771  3.0569 0.0014 0.4714 -0.338906283092 -1.0385264737 -1.05191987293 -0.2313 -0.9760 -0.9313
meanshift 10 2 241 0.464696416592 0.239047808462 1.8267 0.7904  2.0733 0.0173 1.4521 1.07784375 -2.30598958333 -2.26759375 0.8790 -2.1248 -2.0789
meanshift 10 3 41 0.464696416592 0.523910225562 2.8311 0.7090  1.7035 0.0215 2.4375 2.04442857143 -3.24033333333 -3.22028571429 1.9776 -3.1669 -3.1311
meanshift 10 4 161 0.464696416592 0.306914957853 0.7643 0.7444  2.5511 0.0274 0.4969 0.4798 0.8424 2.2528 0.6175 0.1224 1.0020
meanshift 10 5 3 0.464696416592 0.341035545239 3.9014 0.4897  0.6420 0.3157 3.4550 3.068 -4.23366666667 -4.271 3.0680 -4.2337 -4.2710
meanshift 10 6 1 0.464696416592 0.0 N/A N/A N/A N/A 3.8776 3.682 -4.606 -4.48 3.6820 -4.6060 -4.4800
meanshift 10 7 19 0.464696416592 0.592237983884 1.3808 0.4846  1.0800 0.0832 1.2471 1.648 -2.119 -0.748 1.1092 -1.7464 -1.1413
meanshift 10 8 42 0.464696416592 0.512046719778 0.4000 0.5661  2.0266 0.0223 0.3999 -1.659 0.28 0.216 -0.2692 -0.1098 0.3958
meanshift 10 9 128 0.464696416592 0.411464411202 0.7333 0.6593  2.4322 0.0182 0.7124 2.033 -1.279 -0.719 1.0489 -0.4531 -0.0734
meanshift 10 10 1 0.464696416592 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
kmeans 5 1 227 0.350746561039 0.439104202996 2.1905 1.1396  5.8270 0.0215 1.8460 1.29952422907 -2.46135242291 -2.37571365639 1.2995 -2.4614 -2.3757
kmeans 5 2 3888 0.350746561039 0.405563136869 0.8430 0.3459  1.5739 0.0014 0.2978 -0.431086419753 -0.960965792181 -0.973869598765 -0.4311 -0.9610 -0.9739
kmeans 5 3 562 0.350746561039 0.305077626158 0.5629 0.8545  3.7549 0.0143 0.5022 0.534443060498 -0.173377224199 0.401670818505 0.5344 -0.1734 0.4017
kmeans 5 4 1629 0.350746561039 0.279851208803 0.5544 0.5375  4.1153 0.0041 0.3958 0.0283996316759 -0.712491098834 -0.480659300184 0.0284 -0.7125 -0.4807
kmeans 5 5 2351 0.350746561039 0.311601702953 1.0817 0.4236  2.0751 0.0024 0.5946 -0.11380008507 -1.2823024245 -1.3146741812 -0.1138 -1.2823 -1.3147
meanshift 6 1 8210 0.560139817282 0.566847650954 0.8535 0.7275  3.9416 0.0014 0.4963 -0.32927887463 -1.03515185916 -1.04333053636 -0.2080 -0.9640 -0.9110
meanshift 6 2 240 0.560139817282 0.449337549095 2.0134 0.9493  3.0870 0.0215 1.6466 1.25176 -2.42806 -2.38321 1.0802 -2.3033 -2.2525
meanshift 6 3 13 0.560139817282 0.455971709562 3.4562 0.9090  2.1696 0.1062 3.0255 3.2215 -4.32675 -4.32325 2.5647 -3.8028 -3.7741
meanshift 6 4 131 0.560139817282 0.546171715597 0.7401 0.9395  3.9714 0.0223 0.5818 -1.659 0.28 0.216 0.2468 0.1390 0.9867
meanshift 6 5 62 0.560139817282 0.161194276231 1.1314 1.2351  3.5168 0.0322 1.1285 1.648 -2.119 -0.748 1.2501 -1.0273 -0.4632
meanshift 6 6 1 0.560139817282 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
kmeans 6 1 3104 0.329393184186 0.366183495513 0.9971 0.3261  1.3377 0.0024 0.4649 -0.259576353093 -1.17063369845 -1.21624871134 -0.2596 -1.1706 -1.2162
kmeans 6 2 149 0.329393184186 0.466056727622 2.4212 1.0366  5.1136 0.0215 2.0549 1.52410067114 -2.70375167785 -2.66195973154 1.5241 -2.7038 -2.6620
kmeans 6 3 529 0.329393184186 0.302309462943 0.5677 0.8487  3.4690 0.0143 0.4981 0.538618147448 -0.154319470699 0.432529300567 0.5386 -0.1543 0.4325
kmeans 6 4 2882 0.329393184186 0.338783626453 0.7883 0.3399  2.3683 0.0014 0.2587 -0.452283136711 -0.896332755031 -0.885265440666 -0.4523 -0.8963 -0.8853
kmeans 6 5 1462 0.329393184186 0.266894268708 0.5441 0.5431  2.2999 0.0041 0.4101 0.0822175102599 -0.701101915185 -0.453720930233 0.0822 -0.7011 -0.4537
kmeans 6 6 531 0.329393184186 0.224077655044 1.3220 0.6229  2.7410 0.0047 0.9390 0.329542372881 -1.58447834275 -1.53674387947 0.3295 -1.5845 -1.5367
meanshift 7 1 8210 0.551609249487 0.55731164229 0.8535 0.7275  3.9416 0.0014 0.4963 -0.333205390023 -1.03490676264 -1.04439303649 -0.2080 -0.9640 -0.9110
meanshift 7 2 211 0.551609249487 0.461454777572 1.8901 0.7630  2.2388 0.0227 1.5193 1.25176 -2.42806 -2.38321 0.9660 -2.1964 -2.1426
meanshift 7 3 38 0.551609249487 0.552426019333 2.8580 0.6819  1.4979 0.0215 2.4598 2.06886363636 -3.25313636364 -3.22186363636 1.9966 -3.1971 -3.1652
meanshift 7 4 4 0.551609249487 0.456971178995 3.9983 0.6311  1.0834 0.3157 3.5654 3.2215 -4.32675 -4.32325 3.2215 -4.3268 -4.3233
meanshift 7 5 62 0.551609249487 0.129309086264 1.1314 1.2351  3.5168 0.0322 1.1285 1.648 -2.119 -0.748 1.2501 -1.0273 -0.4632
meanshift 7 6 131 0.551609249487 0.546171715597 0.7401 0.9395  3.9714 0.0223 0.5818 -1.659 0.28 0.216 0.2468 0.1390 0.9867
meanshift 7 7 1 0.551609249487 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
kmeans 7 1 1633 0.319232164051 0.255239038027 0.6014 0.4331  2.8939 0.0024 0.3395 -0.122311083895 -0.777515003062 -0.589371096142 -0.1223 -0.7775 -0.5894
kmeans 7 2 270 0.319232164051 0.296139677821 0.6553 0.8183  2.8918 0.0223 0.4904 0.520607407407 0.0142592592593 0.769059259259 0.5206 0.0143 0.7691
kmeans 7 3 692 0.319232164051 0.229453886218 0.4862 0.6349  2.7384 0.0065 0.4814 0.440242774566 -0.495384393064 -0.149911849711 0.4402 -0.4954 -0.1499
kmeans 7 4 2719 0.319232164051 0.371626940923 0.8362 0.3007  1.4322 0.0014 0.2581 -0.486487311512 -0.93671202648 -0.962844795881 -0.4865 -0.9367 -0.9628
kmeans 7 5 141 0.319232164051 0.45996377164 2.4503 1.0301  5.0131 0.0215 2.0837 1.55873049645 -2.73374468085 -2.69265248227 1.5587 -2.7337 -2.6927
kmeans 7 6 436 0.319232164051 0.228087877063 1.3701 0.6488  2.3209 0.0071 0.9957 0.399793577982 -1.64122706422 -1.5821353211 0.3998 -1.6412 -1.5821
kmeans 7 7 2766 0.319232164051 0.337416064441 1.0143 0.3294  1.4290 0.0024 0.4925 -0.223718727404 -1.19708966016 -1.23924801157 -0.2237 -1.1971 -1.2392
meanshift 4 1 8471 0.614074138023 0.614506549294 0.8915 0.8068  4.8908 0.0014 0.5530 -0.323815886207 -1.03355234138 -1.03909733099 -0.1709 -0.9920 -0.9351
meanshift 4 2 56 0.614074138023 0.644969342693 2.8524 0.9489  3.4036 0.0215 2.4630 3.2215 -4.32675 -4.32325 1.9808 -3.1650 -3.1316
meanshift 4 3 1 0.614074138023 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
meanshift 4 4 129 0.614074138023 0.57702752408 0.7417 0.9441  3.9714 0.0223 0.5850 -1.659 0.28 0.216 0.2400 0.1390 0.9891
kmeans 8 1 2739 0.334463761732 0.368994736594 0.8377 0.2976  1.3669 0.0014 0.2559 -0.490872581234 -0.937326761592 -0.964866739686 -0.4909 -0.9373 -0.9649
kmeans 8 2 128 0.334463761732 0.446738910869 2.4991 1.0182  4.8714 0.0215 2.1316 1.61521875 -2.7841875 -2.7444921875 1.6152 -2.7842 -2.7445
kmeans 8 3 331 0.334463761732 0.269476743964 1.4545 0.6813  2.1316 0.0075 1.0910 0.515274924471 -1.73948338369 -1.66164652568 0.5153 -1.7395 -1.6616
kmeans 8 4 273 0.334463761732 0.291843887326 0.6490 0.8119  2.8918 0.0143 0.4895 0.506663003663 0.00571062271062 0.76626007326 0.5067 0.0057 0.7663
kmeans 8 5 975 0.334463761732 0.291964189523 0.4776 0.4271  2.2934 0.0041 0.2633 -0.190566153846 -0.620150769231 -0.384577435897 -0.1906 -0.6202 -0.3846
kmeans 8 6 2434 0.334463761732 0.375018332211 1.0452 0.3123  1.1889 0.0024 0.5012 -0.238544782251 -1.22448603122 -1.28843221035 -0.2385 -1.2245 -1.2884
kmeans 8 7 532 0.334463761732 0.268226959952 0.5256 0.5924  2.4575 0.0065 0.5245 0.57412406015 -0.505456766917 -0.172556390977 0.5741 -0.5055 -0.1726
kmeans 8 8 1245 0.334463761732 0.255877100094 0.7587 0.3595  1.1381 0.0036 0.4563 -0.0097453815261 -0.976600803213 -0.832175100402 -0.0097 -0.9766 -0.8322
