# object_id magnitude
1579.0 20.965
1581.0 20.461
1582.0 21.294
1586.0 20.112
1588.0 21.253
1590.0 19.921
1592.0 20.91
1593.0 20.82
1595.0 20.948
1597.0 20.292
1600.0 21.31
1602.0 20.686
1604.0 20.866
1606.0 19.988
1607.0 20.859
1613.0 20.527
1617.0 20.345
1618.0 21.22
1620.0 21.119
1621.0 20.654
1622.0 21.054
1625.0 21.065
1629.0 21.117
1630.0 21.173
1636.0 21.319
1639.0 20.838
1640.0 21.256
1645.0 21.122
1646.0 21.295
1648.0 21.278
1649.0 20.174
1650.0 20.897
1654.0 20.974
1657.0 21.507
1661.0 20.838
1662.0 21.234
1665.0 20.665
1666.0 20.83
1668.0 21.153
1670.0 21.112
1671.0 21.261
1672.0 21.047
1674.0 20.739
1675.0 20.784
1678.0 20.833
1679.0 20.837
1681.0 20.741
1684.0 21.382
1686.0 20.71
1689.0 21.003
1690.0 21.4
1691.0 20.954
1692.0 21.109
1693.0 21.046
1697.0 21.842
1701.0 20.838
1706.0 20.95
1707.0 21.006
1714.0 20.414
1716.0 20.651
1717.0 20.941
1720.0 20.869
1721.0 21.345
1723.0 21.311
1724.0 19.866
1726.0 20.794
1731.0 21.201
1732.0 20.863
1734.0 20.975
1741.0 20.914
1742.0 21.129
1744.0 21.324
1750.0 21.231
1756.0 20.914
1757.0 20.203
1761.0 20.258
1762.0 21.183
1764.0 21.208
1767.0 20.551
1770.0 20.96
1771.0 20.748
1775.0 21.326
1777.0 21.355
1779.0 21.31
1786.0 20.865
1789.0 21.23
1791.0 20.784
1792.0 21.201
1793.0 21.392
1795.0 20.527
1798.0 20.935
1804.0 21.358
1808.0 21.179
1809.0 21.258
1811.0 21.264
1814.0 21.019
1818.0 20.724
1821.0 20.232
1822.0 20.641
1827.0 20.748
1829.0 21.198
1830.0 21.349
1831.0 22.668
1834.0 21.024
1835.0 20.777
1836.0 21.295
1840.0 20.771
1841.0 21.294
1847.0 21.304
1849.0 21.005
1852.0 21.262
1854.0 21.228
1863.0 19.632
1865.0 21.281
1868.0 20.4
1872.0 21.299
1875.0 20.9
1878.0 20.723
1882.0 20.917
1883.0 21.32
1884.0 21.021
1885.0 20.547
1887.0 21.339
1889.0 21.228
1892.0 20.993
1894.0 21.125
1896.0 20.565
1898.0 21.084
1907.0 21.332
1912.0 20.963
1916.0 20.917
1917.0 21.311
1918.0 21.309
1919.0 21.477
1920.0 21.342
1923.0 19.96
1924.0 21.287
1925.0 21.199
1926.0 21.159
1928.0 21.441
1930.0 21.275
1931.0 20.686
1932.0 21.063
1933.0 21.189
1934.0 21.152
1935.0 20.696
1939.0 21.098
1941.0 21.241
1943.0 21.2
1951.0 21.214
1952.0 21.168
1957.0 21.279
1958.0 20.867
1959.0 20.945
1962.0 20.803
1964.0 21.216
1974.0 20.264
1978.0 20.936
1986.0 21.403
1987.0 21.353
1991.0 20.98
1993.0 21.262
1994.0 21.556
1997.0 21.505
1999.0 21.271
2000.0 20.978
2001.0 20.76
2010.0 21.2
2011.0 22.257
2013.0 20.943
2015.0 21.029
2021.0 21.118
2023.0 21.232
2028.0 21.308
2030.0 21.324
2031.0 20.624
2034.0 21.089
2036.0 21.405
2037.0 21.319
2039.0 21.2
2042.0 21.24
2043.0 20.809
2045.0 21.126
2050.0 21.306
2054.0 20.778
2057.0 20.921
2059.0 21.039
2061.0 21.383
2065.0 21.248
2067.0 21.061
2072.0 21.347
2075.0 21.408
2080.0 21.076
2084.0 20.787
2085.0 20.931
2088.0 21.075
2093.0 21.419
2096.0 20.771
2099.0 21.328
2101.0 21.179
2103.0 21.058
2106.0 21.458
2114.0 21.121
2121.0 21.885
2126.0 21.125
2128.0 21.298
2130.0 20.754
2131.0 21.291
2134.0 20.655
2135.0 21.173
2138.0 21.253
2143.0 20.907
2144.0 21.007
2146.0 21.136
2147.0 21.218
2148.0 21.405
2150.0 21.051
2151.0 21.133
2161.0 20.627
2163.0 20.957
2168.0 20.373
2171.0 20.464
2174.0 21.001
2178.0 20.888
2189.0 21.383
2192.0 20.892
2193.0 20.871
2195.0 21.362
2196.0 21.258
2206.0 20.897
2207.0 21.127
2208.0 21.13
2215.0 20.35
2219.0 21.419
2222.0 21.248
2226.0 21.236
2230.0 21.293
2233.0 21.503
2235.0 20.573
2237.0 21.517
2238.0 21.172
2239.0 21.272
2245.0 21.255
2250.0 20.964
2251.0 21.32
2254.0 21.316
2255.0 21.327
2258.0 21.691
2259.0 21.24
2264.0 20.795
2277.0 21.316
2281.0 21.329
2283.0 21.298
2284.0 21.348
2286.0 21.123
2288.0 21.071
2292.0 20.521
2295.0 21.432
2297.0 20.862
2299.0 21.071
2301.0 20.832
2304.0 21.038
2310.0 21.135
2312.0 20.905
2314.0 21.22
2315.0 21.17
2317.0 20.99
2320.0 21.363
2321.0 21.166
2323.0 20.884
2324.0 20.955
2325.0 21.381
2327.0 21.062
2329.0 20.79
2330.0 21.354
2335.0 21.445
2337.0 21.538
2338.0 21.363
2341.0 20.939
2342.0 21.365
2347.0 21.188
2349.0 21.477
2350.0 21.105
2355.0 21.33
2356.0 20.998
2362.0 20.838
2369.0 21.05
2372.0 21.366
2373.0 20.994
2378.0 20.622
2379.0 21.36
2380.0 21.14
2384.0 21.145
2385.0 20.452
2386.0 21.228
2388.0 20.874
2389.0 21.07
2395.0 20.901
2397.0 21.524
2399.0 21.296
2401.0 21.271
2403.0 21.237
2404.0 20.945
2407.0 20.458
2411.0 21.365
2414.0 21.362
2415.0 20.772
2416.0 21.363
2418.0 21.451
2425.0 20.571
2434.0 21.353
2439.0 20.989
2441.0 21.247
2443.0 21.275
2446.0 20.795
2447.0 21.319
2449.0 21.223
2451.0 20.594
2456.0 20.922
2458.0 20.924
2460.0 21.396
2462.0 21.535
2463.0 21.224
2464.0 21.308
2466.0 21.373
2467.0 21.1
2468.0 20.948
2470.0 20.974
2472.0 20.538
2475.0 21.158
2477.0 20.934
2479.0 20.762
2480.0 21.423
2482.0 20.334
2483.0 21.199
2485.0 21.211
2486.0 21.356
2494.0 21.326
2497.0 21.037
2507.0 22.215
2513.0 21.245
2516.0 21.294
2517.0 21.071
2519.0 21.459
2526.0 21.424
2529.0 19.281
2530.0 21.118
2533.0 20.942
2534.0 21.043
2536.0 21.311
2541.0 21.145
2544.0 20.865
2545.0 21.274
2547.0 20.896
2548.0 21.266
2550.0 21.082
2551.0 21.46
2553.0 21.202
2556.0 20.85
2558.0 20.991
2561.0 20.747
2563.0 18.961
2568.0 21.425
2569.0 21.41
2570.0 20.872
2571.0 21.136
2573.0 21.2
2575.0 21.286
2577.0 21.361
2582.0 21.243
2585.0 21.363
2587.0 21.204
2589.0 20.956
2595.0 21.408
2596.0 21.386
2598.0 21.15
2599.0 20.552
2600.0 21.383
2602.0 21.278
2605.0 21.214
2611.0 21.403
2616.0 21.181
2617.0 20.78
