# object_id magnitude
1275.0 24.774
1276.0 25.685
1280.0 24.518
1282.0 24.353
1283.0 23.642
1291.0 24.432
1300.0 24.999
1302.0 24.329
1303.0 24.578
1304.0 24.852
1308.0 22.501
1309.0 23.883
1314.0 23.375
1321.0 24.816
1332.0 23.031
1336.0 24.525
1340.0 24.757
1341.0 24.069
1342.0 25.118
1345.0 23.974
1346.0 23.6
1347.0 26.565
1349.0 23.487
1353.0 24.687
1354.0 24.545
1358.0 24.599
1360.0 24.849
1365.0 24.177
1367.0 25.777
1371.0 24.447
1375.0 25.112
1379.0 24.497
1380.0 24.319
1385.0 24.789
1386.0 24.212
1389.0 24.927
1390.0 24.252
1394.0 24.724
1395.0 24.397
1403.0 25.255
1404.0 24.185
1410.0 23.537
1411.0 25.746
1412.0 24.967
1414.0 23.711
1420.0 23.863
1421.0 25.295
1422.0 24.782
1431.0 24.235
1433.0 24.405
1435.0 21.346
1440.0 24.036
1443.0 24.902
1444.0 23.296
1446.0 25.594
1447.0 24.564
1449.0 25.149
1450.0 24.34
1451.0 23.993
1452.0 25.498
1458.0 24.916
1463.0 24.276
1468.0 25.412
1474.0 25.167
1476.0 22.665
1478.0 24.712
1486.0 24.081
1488.0 25.69
1501.0 22.76
1503.0 26.305
1504.0 24.747
1509.0 31.06
1512.0 23.015
1517.0 24.42
1522.0 25.57
1524.0 25.263
1526.0 25.786
1528.0 23.853
1529.0 23.465
1531.0 23.781
1532.0 21.322
1536.0 23.67
1537.0 24.751
1539.0 24.514
1543.0 23.697
1552.0 23.939
1556.0 25.34
1558.0 21.986
1560.0 24.465
1565.0 26.252
1567.0 25.004
1568.0 25.248
1571.0 24.561
1576.0 20.526
1577.0 24.266
1579.0 25.979
1581.0 22.463
1582.0 25.754
1586.0 22.664
1588.0 25.256
1590.0 22.39
1592.0 25.252
1595.0 27.947
1597.0 22.765
1600.0 24.633
1602.0 23.874
1604.0 26.047
1606.0 22.475
1607.0 26.263
1613.0 22.975
1617.0 22.463
1618.0 24.22
1620.0 24.629
1621.0 24.098
1622.0 25.163
1625.0 24.839
1629.0 23.759
1630.0 23.792
1636.0 24.761
1639.0 25.749
1640.0 25.274
1645.0 25.317
1646.0 24.168
1648.0 26.902
1649.0 22.026
1650.0 23.979
1654.0 25.002
1661.0 24.903
1662.0 24.454
1665.0 23.359
1666.0 24.356
1668.0 24.61
1670.0 25.192
1671.0 23.924
1672.0 28.052
1674.0 23.428
1675.0 25.511
1678.0 24.797
1679.0 24.462
1681.0 24.215
1686.0 23.913
1689.0 25.365
1690.0 24.09
1691.0 25.109
1692.0 25.056
1693.0 24.876
1697.0 26.328
1701.0 24.397
1706.0 22.723
1707.0 23.437
1714.0 22.024
1716.0 23.826
1717.0 24.651
1720.0 24.224
1721.0 25.747
1723.0 25.08
1724.0 20.997
1726.0 25.407
1731.0 24.67
1732.0 21.764
1734.0 23.869
1741.0 23.977
1742.0 24.233
1744.0 25.01
1750.0 25.475
1756.0 24.647
1757.0 22.499
1761.0 22.881
1762.0 23.385
1764.0 24.544
1767.0 22.207
1770.0 25.523
1771.0 23.632
1775.0 24.561
1777.0 25.774
1779.0 23.919
1786.0 22.89
1789.0 24.173
1791.0 26.666
1792.0 24.107
1793.0 25.203
1795.0 25.345
1798.0 24.567
1804.0 25.173
1808.0 23.31
1809.0 24.3
1811.0 26.496
1814.0 27.428
1821.0 22.627
1822.0 23.999
1827.0 24.617
1829.0 25.835
1830.0 26.073
1831.0 23.194
1835.0 25.567
1836.0 24.625
1840.0 25.169
1841.0 25.994
1847.0 26.42
1849.0 23.947
1852.0 29.291
1854.0 24.371
1863.0 21.586
1865.0 26.035
1868.0 21.81
1872.0 24.239
1875.0 24.153
1878.0 24.028
1882.0 25.044
1883.0 25.688
1884.0 25.361
1885.0 22.508
1887.0 24.071
1889.0 23.575
